augmenteddataset__lag,augmenteddataset__order,svc__C,subject,average_accuracy
1,1,1,1,0.55
2,5,2,2,0.55
1,1,1,3,0.475
3,5,1,4,0.5
3,5,1,5,0.5
1,1,5,6,0.575
1,1,3,7,0.525
1,1,3,8,0.5
5,2,3,9,0.6
4,4,1,10,0.55
1,1,3,11,0.5
1,1,2,12,0.475
1,1,6,13,0.525
1,3,3,14,0.5
1,1,3,15,0.5
2,5,2,16,0.5
1,3,1,17,0.475
1,1,1,18,0.45
3,4,2,19,0.525
1,2,4,20,0.55
1,2,4,21,0.5
1,1,1,22,0.525
1,2,2,23,0.55
1,3,4,24,0.475
1,1,1,25,0.475
1,1,1,26,0.475
1,1,1,27,0.475
2,3,2,28,0.55
1,3,2,29,0.525
4,2,2,30,0.575
3,2,3,31,0.575
1,1,2,32,0.5
1,2,5,33,0.525
1,1,2,34,0.6
1,2,2,35,0.6
2,4,2,36,0.525
1,1,2,37,0.575
1,4,2,38,0.55
1,2,3,39,0.525
1,1,3,40,0.575
5,5,3,41,0.5
1,1,1,42,0.475
1,3,3,43,0.525
1,1,4,44,0.675
1,1,3,45,0.475
1,4,2,46,0.525
1,1,1,47,0.525
1,2,2,48,0.475
1,1,1,49,0.525
2,3,3,50,0.525
