INFO:__main__:25-04-05 11:02:52 Import dataset
INFO:__main__:Channles used: ['Fz', 'F3', 'F4', 'F8', 'FCz', 'FC3', 'FC4', 'Cz', 'C3', 'C4', 'CP3', 'CP4', 'Pz', 'P3', 'P4']
INFO:__main__:25-04-05 11:03:44    subject: 1,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:03:53    subject: 2,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:04:03    subject: 3,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:04:12    subject: 4,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:04:22    subject: 5,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:04:31    subject: 6,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:04:40    subject: 7,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:04:50    subject: 8,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:05:00    subject: 9,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:05:09    subject: 10,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:05:19    subject: 11,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:05:28    subject: 12,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:05:37    subject: 13,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:05:46    subject: 14,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:05:56    subject: 15,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:06:05    subject: 16,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:06:15    subject: 17,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:06:24    subject: 18,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:06:33    subject: 19,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:06:43    subject: 20,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:06:53    subject: 21,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:07:02    subject: 22,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:07:12    subject: 23,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:07:22    subject: 24,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:07:32    subject: 25,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:07:41    subject: 26,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:07:51    subject: 27,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:08:01    subject: 28,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:08:12    subject: 29,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:08:22    subject: 30,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:08:31    subject: 31,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
INFO:__main__:25-04-05 11:08:41    subject: 32,  trainingAcc: 1.0,   testingAcc: 0.49797979797979797
